,title_00,contents_00,title_01,contents_01,title_02,contents_02,title_03,contents_03,title_04,contents_04,title_05,contents_05,title_06,contents_06,title_07,contents_07,title_08,contents_08,title_09,contents_09
0マーケティング・広告に興味がある学生インターンをWanted！,869株式会社Housmart インターン卒業生の体験談,0.922685444355011,759CTO 宮永照久：カウル社員紹介インタビュー,0.9188282489776611,1094私が長期インターンシップを大学1年から始めた理由,0.9182745218276978,397留年による就活の不利を取り返す、ただ一つの方法,0.9162588715553284,1031石橋 優太朗：カウル社員紹介インタビュー,0.9101595878601074,1008谷 鴻佑：カウル社員紹介インタビュー,0.9100092649459839,1211松原 遥香：カウル社員紹介インタビュー,0.9097540378570557,963【スタートアップで働く】を大解剖！！大企業からベンチャーへ転職して、実際どうなの？,0.9067655801773071,87モヤモヤしている大学生に、僕が必ず長期インターンをおすすめする理由,0.9045712947845459,1618鈴木 隆士：カウル社員紹介インタビュー,0.9038691520690918
1運営会社情報,313欠陥が指摘された横浜マンションについて「あしたのニュース」にハウスマート代表の針山が取材されました,0.9309420585632324,314「スッキリ！！」「めざましテレビ」にハウスマート代表の針山が取材されました,0.9217361807823181,115日本初、ユーザー同士が直接マンション売買出来るWEBプラットフォームサービス『Housmart(ハウスマート)』から書籍発売のお知らせ,0.9099382162094116,335ハウスマート日経新聞掲載！【中古マンション 割安取引 ネット仲介VB参入相次ぐ】,0.9010558128356934,1422私、針山 昌幸 にお任せください,0.8856952786445618,605【ワールドビジネスサテライト】カウルを取材して頂きました！,0.8852981328964233,872マンション売買を変革する不動産テック企業『Housmart（ハウスマート）』、オプトベンチャーズ１号投資事業有限責任組合、BEENEXT、大和企業投資より第三者割当増資による約1億円の資金調達を実施,0.8845728635787964,1032カウルが日経産業新聞に掲載されました！【不動産業界の透明性、ベンチャー企業が変革】,0.8801534175872803,838【カウル・日経ヴェリタス掲載】マンション適正価格AIビッグデータで算出,0.874580442905426,500【とくダネ！】ハウスマートを取材して頂きました,0.8740609884262085
2ハウスマート・カウル社員紹介,1223チャールズ・グリーン：カウル社員紹介インタビュー,0.9493647813796997,1618鈴木 隆士：カウル社員紹介インタビュー,0.900346577167511,1008谷 鴻佑：カウル社員紹介インタビュー,0.8972783088684082,188スタートアップメディア「THE BRIDGE」にハウスマートの資金調達を取り上げて頂きました！,0.8923661708831787,763CPO 高松智明：カウル社員紹介インタビュー,0.8803730010986328,686【カウル】世界最大級のスタートアップイベント「SLUSH」に登壇します,0.8768088221549988,1027稲井 学：カウル社員紹介インタビュー,0.8746798038482666,880CHO 徳永学：カウル社員紹介インタビュー,0.8723199367523193,759CTO 宮永照久：カウル社員紹介インタビュー,0.8703395128250122,1121西辻 雅基：カウル社員紹介インタビュー,0.8661264181137085
3不動産業者だけが知っている「レインズ」とは？,836専任媒介契約の物件は他の不動産会社でも買えるのか？,0.8963263630867004,1335不動産仲介の仕組みを徹底解説！,0.8912310004234314,4マンション売却の決め手！マンションを高く売るためのマイソクとは,0.8844050168991089,8マンション売却「このマンションを購入したい人がいます」チラシは本当か？,0.8813997507095337,1442仲介手数料無料、半額サービスは紹介される物件数が少ないのか？,0.8672842979431152,1418チラシに書いてある【規定・所定の仲介手数料、手数料を頂きます】って一体なに？,0.8552833199501038,1415新築マンション購入には仲介手数料ってかかるの？,0.840553879737854,1441仲介手数料半額で中古マンション売買は可能なのか？,0.8313734531402588,12マンション高額売却のコツ！インターネット広告を活用しよう,0.821700394153595,519【物件リクエスト機能】カウルなら殆どのマンションをご紹介可能です,0.8128368258476257
4マンション売却の決め手！マンションを高く売るためのマイソクとは,3不動産業者だけが知っている「レインズ」とは？,0.8844050168991089,1587マンションを「早く」「高く」売却するのテクニック一覧！,0.8514459133148193,80【騙されない！】新築マンションを騙されずに買うための3つの注意点,0.8493233323097229,12マンション高額売却のコツ！インターネット広告を活用しよう,0.8474650382995605,98『プロだけが知っているマンションを「高く売る方法」』を出版しました,0.8316304087638855,11マンションは非公開でも売却出来るか？,0.8314763903617859,8マンション売却「このマンションを購入したい人がいます」チラシは本当か？,0.8310202360153198,120「プロだけが知っているマンションを高く売る方法　マンション高額売却術（新装版）」発売のお知らせ,0.8276490569114685,1415新築マンション購入には仲介手数料ってかかるの？,0.8261148929595947,10マンション売却　売り出し金額の決め方とは,0.8170055150985718
5ハウスマート代表　針山昌幸：社員紹介インタビュー,1031石橋 優太朗：カウル社員紹介インタビュー,0.9264564514160156,1449真鍋 達哉：カウル社員紹介インタビュー,0.9205281734466553,87モヤモヤしている大学生に、僕が必ず長期インターンをおすすめする理由,0.9153155088424683,1529兼本 寛士：カウル社員紹介インタビュー,0.9090133309364319,397留年による就活の不利を取り返す、ただ一つの方法,0.8983004689216614,0マーケティング・広告に興味がある学生インターンをWanted！,0.8916299939155579,1318田中 純：カウル社員紹介インタビュー,0.8897476196289062,1211松原 遥香：カウル社員紹介インタビュー,0.8888257741928101,759CTO 宮永照久：カウル社員紹介インタビュー,0.886042058467865,1008谷 鴻佑：カウル社員紹介インタビュー,0.8847624659538269
6マンション売却時に結ぶ「媒介契約」とは？,9マンション買取をするなら絶対に気をつけるべきポイント,0.8825150728225708,1588マンション売却の注意点を不動産のプロが徹底解説！,0.8752409219741821,836専任媒介契約の物件は他の不動産会社でも買えるのか？,0.8666194677352905,785仲介か買取か。マンション売却方法の選択基準！,0.8501215577125549,1335不動産仲介の仕組みを徹底解説！,0.8406543731689453,293【疑問解決！】マンション売却を依頼したけど反響ゼロ〜理由と打開策〜,0.8355546593666077,205マンション売却は仲介業者選びがポイント！,0.8326212167739868,222【プロが伝授！】中古マンション売買におけるトラブルケーススタディ,0.8308733701705933,1587マンションを「早く」「高く」売却するのテクニック一覧！,0.8290423154830933,1409仲介手数料を安くする為に、不動産会社無しで直接契約するってアリ？,0.8257603645324707
7マンションを高く売却する為の内覧会のコツとは,22マンション売却　見学は多いのに誰もマンションを買ってくれない理由,0.9059237241744995,81【マンション売却成功術】内覧希望者と友達になってしまおう！,0.8977364897727966,344もっと高く売れる！中古マンション内覧の6つのポイント,0.8344113230705261,247【チェックしよう！】中古マンションを内覧するときの注意点まとめ,0.8190925717353821,20マンション売却の為に修復は必要か？,0.8088111877441406,82【マンション売却】居住中と空っぽのマンション、どっちが売れやすい？,0.8066705465316772,15マンション売却にリフォームはした方がいい？,0.8030916452407837,44中古マンションの購入申込書はココに気をつけよう！,0.7921284437179565,260損したくない！分譲マンションを高く売却するために絶対知っておきたい方法,0.7900769710540771,32マンション売却における購入申込書（買付）の確認必須ポイントとは,0.7763028144836426
8マンション売却「このマンションを購入したい人がいます」チラシは本当か？,10マンション売却　売り出し金額の決め方とは,0.8917136788368225,3不動産業者だけが知っている「レインズ」とは？,0.8813997507095337,1439不動産売却の仲介手数料はいくらかかる？無料にすることは可能？,0.8349609375,1415新築マンション購入には仲介手数料ってかかるの？,0.8341729640960693,805中古マンション購入で失敗しない為の3つの視点とは？,0.8335062265396118,4マンション売却の決め手！マンションを高く売るためのマイソクとは,0.8310202360153198,32マンション売却における購入申込書（買付）の確認必須ポイントとは,0.8300520181655884,9マンション買取をするなら絶対に気をつけるべきポイント,0.8290693163871765,21マンションの売却金額に反映されないポイントとは,0.8287911415100098,1442仲介手数料無料、半額サービスは紹介される物件数が少ないのか？,0.8278979063034058
9マンション買取をするなら絶対に気をつけるべきポイント,205マンション売却は仲介業者選びがポイント！,0.911200761795044,1588マンション売却の注意点を不動産のプロが徹底解説！,0.898923397064209,6マンション売却時に結ぶ「媒介契約」とは？,0.8825150728225708,1409仲介手数料を安くする為に、不動産会社無しで直接契約するってアリ？,0.8764333724975586,1439不動産売却の仲介手数料はいくらかかる？無料にすることは可能？,0.8749558925628662,228マンション売却は残債があっても大丈夫？,0.8740648031234741,959仲介手数料無料は詐欺？裏側のからくりを不動産の専門家が徹底解説,0.8723890781402588,1442仲介手数料無料、半額サービスは紹介される物件数が少ないのか？,0.8692806363105774,10マンション売却　売り出し金額の決め方とは,0.862126350402832,1516【プロだけが知っている】中古マンション値引き成功マニュアル！,0.8552007675170898
